EmployeeID,Name,Department,Gender,JoinDate,Age,Salary
1,Employee_1,sales,Male,20-Jul-2022,29.4,1883539.78
2,Employee_2,Sales,F,2023-10-28,35.2,98001.62
3,Employee_3,Sales,Male,08-22-2024,,"$56,436.80"
4,Employee_4,sales,Female,07-Oct-2018,37.5,"$55,021.49"
5,Employee_5,Sales,F,11-30-2022,34.1,51123.83
6,Employee_6,SALES,Male,22/09/2020,29.1,"$61,519.80"
7,Employee_7,Marketing,Male,2024-10-06,50.3,84566.59
8,Employee_8,Sales,female,07-Jun-2018,42.4,"$53,205.36"
9,Employee_9,engineering,female,07/12/2022,38.8,77520.21
10,Employee_10,Hr,female,14-Apr-2020,26.5,"$82,075.78"
11,Employee_11,sales,female,18/02/2018,21.9,"$92,469.39"
12,Employee_12,sales,Male,29-Apr-2024,38.2,78346.76
13,Employee_13,sales,male,04/04/2023,34.8,56626.86
14,Employee_14,Engineering,M,2019-06-30,30.4,"$72,349.72"
15,Employee_15,Hr,Female,12-18-2020,40.9,42246.67
16,Employee_16,sales,Male,2020-11-04,40.4,70386.76
17,Employee_17,SALES,M,24-Oct-2021,37.7,"$65,890.93"
18,Employee_18,sales,M,05/07/2020,25.6,49948.23
19,Employee_19,Marketing,male,19/05/2024,27.0,
20,Employee_20,Marketing,,2018-06-23,47.3,"$71,815.53"
21,Employee_21,Sales,male,18-May-2018,34.5,"$69,776.65"
22,Employee_22,Hr,Female,09-Jun-2023,43.0,"$44,148.07"
23,Employee_23,Hr,female,09-11-2023,40.7,"$91,323.92"
24,Employee_24,,M,20-Jul-2022,41.5,52849.64
25,Employee_25,Engineering,M,2023-02-23,31.3,52489.93
26,Employee_26,sales,F,02-01-2019,49.8,88365.99
27,Employee_27,engineering,Female,29-May-2020,34.8,53183.71
28,Employee_28,Hr,,08-22-2021,32.9,68499.73
29,Employee_29,Hr,M,07-24-2020,36.8,65316.79
30,Employee_30,engineering,female,05-Mar-2020,30.9,92616.0
31,Employee_31,Sales,male,2021-01-06,36.0,"$70,695.51"
32,Employee_32,HR,male,03/09/2023,33.3,104638.32
33,Employee_33,engineering,male,2024-09-22,29.6,"$50,522.59"
34,Employee_34,HR,Female,23/08/2021,37.2,"$66,302.59"
35,Employee_35,Hr,M,01-04-2022,39.1,"$45,164.02"
36,Employee_36,engineering,F,2018-07-05,42.4,68153.01
37,Employee_37,sales,M,11-07-2018,29.8,73343.63
38,Employee_38,HR,F,2023-01-15,42.7,76322.55
39,Employee_39,engineering,Male,11-27-2019,30.7,"$84,667.33"
40,Employee_40,SALES,female,01/01/2022,,57074.36
41,Employee_41,SALES,male,2023-05-05,32.1,63644.36
42,Employee_42,Marketing,Female,30/05/2018,30.4,34850.92
43,Employee_43,engineering,female,07-18-2024,36.7,57742.57
44,Employee_44,engineering,M,2019-01-15,38.7,
45,Employee_45,Engineering,Male,08-15-2024,35.7,88091.31
46,Employee_46,Engineering,male,12-20-2019,22.0,80606.23
47,Employee_47,Sales,Male,25-Sep-2018,35.1,76454.57
48,Employee_48,Hr,female,01-16-2019,16.4,43888.98
49,Employee_49,SALES,Male,17-Mar-2018,37.4,"$51,123.48"
50,Employee_50,HR,male,13-Jun-2024,25.1,76915.52
51,Employee_51,Engineering,female,12-03-2018,27.2,56177.31
52,Employee_52,engineering,F,12-26-2023,39.7,"$91,025.56"
53,Employee_53,Hr,Male,21/07/2023,23.4,72957.04
54,Employee_54,sales,female,2019-04-27,29.7,
55,Employee_55,HR,Male,2019-11-26,42.2,72347.32
56,Employee_56,SALES,F,07-31-2020,999.0,22306.12
57,Employee_57,Sales,Male,04/06/2020,36.2,74230.11
58,Employee_58,Marketing,M,14-Nov-2020,25.1,966518.98
59,Employee_59,SALES,female,2019-11-30,34.4,62427.04
60,Employee_60,SALES,M,10-09-2021,35.8,"$45,423.18"
61,Employee_61,Sales,,12-29-2020,36.0,47541.2
62,Employee_62,HR,Female,05-17-2020,24.8,"$66,306.01"
63,Employee_63,engineering,female,20-Mar-2020,33.6,"$63,924.91"
64,Employee_64,SALES,Male,2023-11-13,41.3,"$97,554.15"
65,Employee_65,HR,male,21-Jun-2020,25.2,75883.69
66,Employee_66,engineering,F,16/09/2018,40.1,"$47,520.33"
67,Employee_67,HR,Female,22/05/2024,21.0,60053.57
68,Employee_68,Engineering,female,2019-03-03,27.3,73648.71
69,Employee_69,Engineering,F,09-20-2020,33.2,"$69,855.54"
70,Employee_70,Sales,Male,07-Apr-2021,30.1,71623.48
71,Employee_71,Sales,M,04-23-2020,22.8,"$64,225.08"
72,Employee_72,HR,Female,16/02/2022,50.5,"$72,171.22"
73,Employee_73,sales,Female,21/04/2023,28.6,
74,Employee_74,Hr,female,25/03/2021,41.1,54374.74
75,Employee_75,Sales,Female,06-26-2020,32.2,57193.81
76,Employee_76,HR,male,29/09/2024,38.2,42206.02
77,Employee_77,Hr,female,28-Jun-2018,30.6,67880.76
78,Employee_78,HR,male,2023-08-01,40.6,71412.43
79,Employee_79,Marketing,Female,03-13-2020,33.0,51093.19
80,Employee_80,Marketing,female,2018-09-11,36.3,"$82,768.33"
81,Employee_81,SALES,F,2020-01-06,,63131.42
82,Employee_82,Engineering,female,30-Oct-2018,24.9,"$96,532.32"
83,Employee_83,SALES,,12-Apr-2024,32.3,"$75,690.03"
84,Employee_84,Marketing,M,19/05/2018,26.7,43687.69
85,Employee_85,HR,male,01/06/2022,49.7,69024.76
86,Employee_86,SALES,M,2022-02-17,31.0,"$61,001.41"
87,Employee_87,SALES,F,24/03/2024,20.9,44767.3
88,Employee_88,SALES,M,05-16-2018,44.1,92427.08
89,Employee_89,engineering,M,06-May-2023,40.5,105418.08
90,Employee_90,sales,Female,2021-03-08,26.8,57965.29
91,Employee_91,SALES,Female,2022-12-08,39.9,74377.12
92,Employee_92,Engineering,M,2020-08-19,31.3,50309.04
93,Employee_93,Engineering,M,24-Jul-2022,33.6,73924.81
94,Employee_94,Sales,Female,14-Jun-2020,32.3,
95,Employee_95,Hr,M,04-29-2024,-5.0,"$77,311.66"
96,Employee_96,SALES,F,2020-09-19,36.7,73905.07
97,Employee_97,Engineering,Female,2023-03-03,150.0,67079.58
98,Employee_98,SALES,M,06-06-2018,31.2,"$88,972.51"
99,Employee_99,Marketing,Female,09-12-2018,34.4,"$1,575,959.81"
100,Employee_100,sales,Male,04-03-2019,34.4,63759.86
101,Employee_101,Marketing,female,2020-04-22,34.0,
102,Employee_102,Marketing,Male,11/03/2019,33.1,"$53,283.92"
103,Employee_103,Engineering,M,04-05-2020,150.0,"$36,564.38"
104,Employee_104,SALES,M,03-Nov-2019,30.8,"$92,994.17"
105,Employee_105,HR,Female,2024-07-16,26.0,77137.65
106,Employee_106,SALES,Male,06-16-2020,39.7,"$62,271.16"
107,Employee_107,engineering,Female,2024-03-04,59.6,"$70,282.21"
108,Employee_108,HR,F,2021-11-25,26.6,56637.86
109,Employee_109,Marketing,Female,08-31-2021,39.1,"$68,277.20"
110,Employee_110,HR,female,05/12/2022,27.9,58302.58
111,Employee_111,HR,M,2019-04-15,32.9,"$55,811.67"
112,Employee_112,HR,,03-May-2020,21.4,53597.35
113,Employee_113,Engineering,Male,03-18-2023,28.3,43293.99
114,Employee_114,Sales,M,2019-07-12,45.1,91916.72
115,Employee_115,HR,Female,05-12-2020,27.0,"$84,664.31"
116,Employee_116,Marketing,M,2020-11-06,36.0,81761.19
117,Employee_117,SALES,female,22/05/2024,40.4,72604.02
118,Employee_118,,male,20-Apr-2020,27.2,"$72,351.32"
119,Employee_119,Hr,male,05-31-2023,21.7,
120,Employee_120,sales,Female,05-15-2024,37.0,"$53,463.97"
121,Employee_121,Sales,female,27-Jan-2023,,66021.28
122,Employee_122,SALES,M,20-Oct-2020,54.1,71603.77
123,Employee_123,Sales,Male,10-13-2021,37.6,74882.13
124,Employee_124,Engineering,Male,02-Dec-2022,24.7,63142.84
125,Employee_125,HR,M,07-04-2019,48.7,"$45,860.34"
126,Employee_126,Sales,Female,18/06/2020,23.1,69992.67
127,Employee_127,Sales,female,09-Aug-2019,26.8,59574.49
128,Employee_128,Marketing,Female,23-Sep-2023,25.0,71085.77
129,Employee_129,Engineering,female,24/07/2020,32.6,"$67,237.38"
130,Employee_130,engineering,M,04/07/2023,38.3,75330.61
131,Employee_131,HR,Female,13-Oct-2024,23.1,"$83,353.07"
132,Employee_132,HR,F,14/07/2024,31.3,"$61,748.38"
133,Employee_133,engineering,M,19/03/2020,20.7,"$69,406.44"
134,Employee_134,Engineering,female,07-11-2024,29.5,69876.45
